time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1744105200000000,78992.0,79135.0,78984.61,79106.98,25.62447,1744105499999999,2026323.6226109,930,13.06593,1033259.4136306,0,2025-04-08 09:40:00
1744105500000000,79106.98,79146.71,79033.98,79139.46,10.90345,1744105799999999,862346.1070665,771,5.24182,414532.9057837,0,2025-04-08 09:45:00
1744105800000000,79133.52,79170.58,78997.75,78997.76,16.47937,1744106099999999,1303758.9733876,944,6.64268,525570.0018953,0,2025-04-08 09:50:00
1744106100000000,78997.75,78997.75,78862.98,78885.99,11.56038,1744106399999999,912439.8672274,791,5.84474,461364.7879469,0,2025-04-08 09:55:00
1744106400000000,78884.9,78966.19,78802.01,78955.79,15.38569,1744106699999999,1213553.7301592,1001,7.30067,575908.8976103,0,2025-04-08 10:00:00
1744106700000000,78955.8,79031.25,78933.76,79009.99,6.36111,1744106999999999,502406.6266541,570,4.14196,327143.2970626,0,2025-04-08 10:05:00
1744107000000000,79011.39,79037.99,78864.63,78880.01,10.46191,1744107299999999,825769.3243928,747,4.11888,325079.7321865,0,2025-04-08 10:10:00
1744107300000000,78880.01,78945.85,78840.01,78934.01,7.23388,1744107599999999,570823.8539173,639,5.33257,420777.612131,0,2025-04-08 10:15:00
1744107600000000,78934.01,79043.99,78888.27,79000.0,10.57096,1744107899999999,834531.1195199,704,4.6417,366449.3616209,0,2025-04-08 10:20:00
1744107900000000,79000.01,79000.01,78899.89,78975.36,9.19082,1744108199999999,725560.1423529,588,4.99644,394413.9128711,0,2025-04-08 10:25:00
1744108200000000,78979.49,79053.31,78907.91,78998.0,18.66319,1744108499999999,1474098.4532883,864,13.00153,1026848.0806149,0,2025-04-08 10:30:00
1744108500000000,78995.53,79173.46,78995.53,79108.67,21.57229,1744108799999999,1706286.6034289,917,17.64369,1395637.2493426,0,2025-04-08 10:35:00
1744108800000000,79108.68,79157.2,79032.8,79043.28,15.3041,1744109099999999,1210600.3563743,721,5.1355,406333.6145452,0,2025-04-08 10:40:00
1744109100000000,79043.28,79110.0,78958.0,79033.35,28.95585,1744109399999999,2289761.4710221,1025,24.28279,1920419.3816562,0,2025-04-08 10:45:00
1744109400000000,79032.0,79041.22,78910.19,78945.09,9.54343,1744109699999999,753744.7591351,648,4.07518,321870.2298594,0,2025-04-08 10:50:00
1744109700000000,78945.09,78998.0,78924.01,78989.3,6.11689,1744109999999999,482968.1010151,452,3.75615,296556.0208726,0,2025-04-08 10:55:00
1744110000000000,78991.07,79039.99,78990.01,79014.96,10.99843,1744110299999999,869082.3705246,652,5.62098,444139.8982114,0,2025-04-08 11:00:00
1744110300000000,79014.96,79150.98,78942.01,79139.98,32.09756,1744110599999999,2536895.0420699,1102,23.00552,1818161.0994782,0,2025-04-08 11:05:00
1744110600000000,79138.0,79253.82,79092.0,79139.81,27.80798,1744110899999999,2201900.4674444,1636,15.4172,1220834.4869212,0,2025-04-08 11:10:00
1744110900000000,79136.0,79342.0,79031.28,79207.24,29.26018,1744111199999999,2318077.651891,1785,17.01264,1347899.2056795,0,2025-04-08 11:15:00
1744111200000000,79207.24,79321.18,79191.99,79259.59,15.94867,1744111499999999,1264219.6108475,828,8.19276,649351.6207976,0,2025-04-08 11:20:00
1744111500000000,79255.01,79337.06,79219.42,79332.02,11.66467,1744111799999999,924583.7736342,590,6.10741,484128.1218914,0,2025-04-08 11:25:00
1744111800000000,79332.01,79595.13,79314.01,79569.55,32.36175,1744112099999999,2571593.5587386,2228,21.95815,1744723.9639914,0,2025-04-08 11:30:00
1744112100000000,79569.56,79776.85,79569.56,79669.97,34.30032,1744112399999999,2732669.6451176,2142,23.49619,1871752.8999197,0,2025-04-08 11:35:00
1744112400000000,79668.82,79705.08,79542.01,79578.83,23.71829,1744112699999999,1888123.8552017,1309,12.68886,1010192.1587189,0,2025-04-08 11:40:00
1744112700000000,79578.84,79754.16,79578.84,79732.46,34.85414,1744112999999999,2776752.5673111,1600,24.10907,1920700.5169858,0,2025-04-08 11:45:00
1744113000000000,79734.86,79890.49,79732.01,79879.98,34.27532,1744113299999999,2735844.508764,2073,23.00811,1836530.4908749,0,2025-04-08 11:50:00
1744113300000000,79880.48,80043.43,79790.0,79956.8,31.62866,1744113599999999,2526839.1569293,2118,19.66925,1571431.6005462,0,2025-04-08 11:55:00
1744113600000000,79963.39,80108.33,79790.0,79840.0,43.88686,1744113899999999,3508094.7265915,2434,21.28765,1702048.1016577,0,2025-04-08 12:00:00
1744113900000000,79836.2,80068.0,79830.93,80004.01,37.94988,1744114199999999,3035347.9441142,1660,19.37447,1549324.7382104,0,2025-04-08 12:05:00
1744114200000000,80010.84,80094.0,79944.0,79967.36,35.78429,1744114499999999,2863601.9915187,1710,15.50727,1240929.7156188,0,2025-04-08 12:10:00
1744114500000000,79964.0,79974.42,79835.3,79911.99,19.896,1744114799999999,1589629.4810715,1153,7.59087,606431.8231788,0,2025-04-08 12:15:00
1744114800000000,79908.32,79908.32,79752.51,79823.98,21.02637,1744115099999999,1678254.7538246,1337,9.4285,752521.6538841,0,2025-04-08 12:20:00
1744115100000000,79823.96,79923.99,79752.51,79856.01,22.82324,1744115399999999,1821899.2673825,1112,10.75216,858297.121653,0,2025-04-08 12:25:00
1744115400000000,79856.01,79962.72,79708.03,79749.97,17.46843,1744115699999999,1394371.9051021,1380,6.8203,544556.7861652,0,2025-04-08 12:30:00
1744115700000000,79749.98,79775.97,79645.33,79658.02,13.99656,1744115999999999,1115458.7243819,1155,4.49648,358339.91174,0,2025-04-08 12:35:00
1744116000000000,79658.02,79720.82,79548.0,79664.01,21.92415,1744116299999999,1745696.5082722,1633,7.79192,620441.4006678,0,2025-04-08 12:40:00
1744116300000000,79664.0,79798.4,79576.04,79614.02,15.76418,1744116599999999,1257070.419905,944,5.69551,454180.4430138,0,2025-04-08 12:45:00
1744116600000000,79618.0,79790.72,79581.99,79762.37,10.77979,1744116899999999,859335.4702964,953,5.67048,452021.6460184,0,2025-04-08 12:50:00
1744116900000000,79763.12,79874.98,79712.0,79810.94,11.24986,1744117199999999,897846.1719994,997,8.50104,678457.1924153,0,2025-04-08 12:55:00
1744117200000000,79810.93,79965.99,79736.0,79907.99,27.52826,1744117499999999,2199102.3518239,1608,16.41642,1311223.7038933,0,2025-04-08 13:00:00
1744117500000000,79902.03,80234.0,79750.38,80192.0,76.29859,1744117799999999,6105395.1503341,3854,48.74892,3901190.1498297,0,2025-04-08 13:05:00
1744117800000000,80192.01,80353.59,79967.05,80024.0,61.85778,1744118099999999,4957472.5915809,3603,29.31551,2349734.3360038,0,2025-04-08 13:10:00
1744118100000000,80033.69,80148.0,79891.06,80023.99,31.58359,1744118399999999,2527149.9587444,2038,16.25313,1300281.5933924,0,2025-04-08 13:15:00
1744118400000000,80022.8,80175.99,80011.83,80085.96,35.20895,1744118699999999,2820397.3903227,1911,20.25252,1622460.1897432,0,2025-04-08 13:20:00
1744118700000000,80085.96,80261.4,80083.98,80146.03,28.07018,1744118999999999,2250740.4343532,1702,14.91169,1195624.4300387,0,2025-04-08 13:25:00
1744119000000000,80158.0,80350.77,79904.0,80014.02,87.47673,1744119299999999,7004828.6732846,4328,43.05429,3447579.8851922,0,2025-04-08 13:30:00
1744119300000000,80014.02,80067.99,79358.82,79742.93,90.96349,1744119599999999,7244746.070264,6494,39.4496,3141914.6864264,0,2025-04-08 13:35:00
1744119600000000,79737.43,79897.97,79518.02,79756.01,80.05907,1744119899999999,6377545.9748834,4148,40.16246,3200265.5287618,0,2025-04-08 13:40:00
1744119900000000,79756.0,80021.79,79557.4,79598.76,54.44448,1744120199999999,4345795.6009832,3804,29.46951,2352834.3384713,0,2025-04-08 13:45:00
1744120200000000,79598.0,79962.68,79512.0,79845.76,43.67897,1744120499999999,3482755.3324853,3048,24.00172,1913711.7319545,0,2025-04-08 13:50:00
1744120500000000,79843.96,79970.0,79694.0,79872.0,34.17483,1744120799999999,2728831.0200203,2222,17.10993,1366078.5858764,0,2025-04-08 13:55:00
1744120800000000,79870.01,80044.06,79712.22,79972.98,45.57032,1744121099999999,3639989.6723255,2590,27.07945,2163135.2356146,0,2025-04-08 14:00:00
1744121100000000,79986.51,80228.0,79795.96,80018.0,78.3418,1744121399999999,6266776.443986,4083,51.90449,4152661.5344814,0,2025-04-08 14:05:00
1744121400000000,80018.67,80091.08,79805.56,79949.97,52.86863,1744121699999999,4225261.9987145,2447,30.29741,2421174.4377962,0,2025-04-08 14:10:00
1744121700000000,79941.99,80150.0,79910.01,79981.47,126.15279,1744121999999999,10093327.1930772,3407,27.86198,2229666.1612196,0,2025-04-08 14:15:00
1744122000000000,79981.47,80032.0,79551.62,79562.28,46.13189,1744122299999999,3682631.1235094,3073,18.5651,1482031.6934593,0,2025-04-08 14:20:00
1744122300000000,79568.0,79657.21,79356.61,79430.61,65.43006,1744122599999999,5202130.0897686,3231,31.13315,2475149.691575,0,2025-04-08 14:25:00
1744122600000000,79420.01,79517.99,79099.81,79464.0,56.28736,1744122899999999,4465259.1365892,3885,25.4192,2016676.5598599,0,2025-04-08 14:30:00
1744122900000000,79478.0,79568.79,79281.81,79451.49,40.6615,1744123199999999,3230065.771806,2475,19.93494,1583797.5299897,0,2025-04-08 14:35:00
1744123200000000,79456.6,79475.98,79079.0,79096.28,42.69365,1744123499999999,3385718.7115613,2181,20.79427,1649334.0970251,0,2025-04-08 14:40:00
1744123500000000,79097.0,79221.35,79014.92,79034.03,63.83788,1744123799999999,5051155.6234885,2453,30.61569,2422340.0526573,0,2025-04-08 14:45:00
1744123800000000,79041.99,79076.01,78809.98,78812.39,51.14058,1744124099999999,4037511.2702576,2940,17.45804,1378548.6380055,0,2025-04-08 14:50:00
